title,author,award,year,category,status
The Fifth Season,N.K. Jemisin,Hugo,2015,Best Novel,Winner
The Obelisk Gate,N.K. Jemisin,Hugo,2016,Best Novel,Winner
The Stone Sky,N.K. Jemisin,Hugo,2017,Best Novel,Winner
A Memory Called Empire,Arkady Martine,Hugo,2019,Best Novel,Winner
Children of Time,Adrian Tchaikovsky,Hugo,2016,Best Novel,Winner
Dune,Frank Herbert,Hugo,1966,Best Novel,Winner
Left Hand of Darkness,Ursula K. Le Guin,Hugo,1970,Best Novel,Winner
The City & The City,China Miéville,Hugo,2010,Best Novel,Winner
All Systems Red,Martha Wells,Hugo,2018,Best Novella,Winner
A Desolation Called Peace,Arkady Martine,Hugo,2022,Best Novel,Winner

title,author,award,year,category,status
The Left Hand of Darkness,Ursula K. Le Guin,Hugo,1970,Best Novel,Winner
Neuromancer,William Gibson,Hugo,1984,Best Novel,Winner
Anathem,Neal Stephenson,Hugo,2009,Best Novel,Nominee
A Fire Upon the Deep,Vernor Vinge,Hugo,1993,Best Novel,Winner
The City & The City,China Miéville,Hugo,2010,Best Novel,Winner
